g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-5.171230
Position (m),	Time (s)
219.042210,	0.000000
218.611229,	0.000200
218.204876,	0.000400
217.749268,	0.000600
217.330601,	0.000800
216.825738,	0.001000
216.468639,	0.001200
215.951463,	0.001400
215.594364,	0.001600
215.101815,	0.001800
214.744717,	0.002000
214.276795,	0.002200
213.845815,	0.002400
213.439462,	0.002600
212.996167,	0.002800
212.368167,	0.003000
212.109579,	0.003200
211.666285,	0.003400
211.222991,	0.003600
210.742755,	0.003800
210.373344,	0.004000
209.930050,	0.004200
209.511383,	0.004400
209.043461,	0.004600
208.600167,	0.004800
208.169187,	0.005000
207.725893,	0.005200
207.270285,	0.005400
206.839305,	0.005600
206.420639,	0.005800
205.977345,	0.006000
205.447855,	0.006200
205.066129,	0.006400
204.635149,	0.006600
204.191855,	0.006800
203.773189,	0.007000
203.317581,	0.007200
202.849660,	0.007400
202.418680,	0.007600
201.938445,	0.007800
201.507465,	0.008000
201.051857,	0.008200
200.633191,	0.008400
200.177584,	0.008600
199.709662,	0.008800
199.278682,	0.009000
198.847702,	0.009200
198.059625,	0.009400
197.911860,	0.009600
197.480880,	0.009800
197.025273,	0.010000
196.569666,	0.010200
196.114058,	0.010400
195.658451,	0.010600
195.190530,	0.010800
194.697982,	0.011000
194.279316,	0.011200
193.872963,	0.011400
193.343474,	0.011600
192.887867,	0.011800
192.469201,	0.012000
192.001280,	0.012200
191.582614,	0.012400
190.954615,	0.012600
190.634459,	0.012800
190.166538,	0.013000
189.710931,	0.013200
189.243010,	0.013400
188.725835,	0.013600
188.331796,	0.013800
187.876189,	0.014000
187.420582,	0.014200
186.977289,	0.014400
186.521682,	0.014600
186.090702,	0.014800
185.524272,	0.015000
185.154861,	0.015200
184.674627,	0.015400
184.231334,	0.015600
183.738786,	0.015800
183.295493,	0.016000
182.864513,	0.016200
182.359652,	0.016400
181.854790,	0.016600
181.448438,	0.016800
180.943577,	0.017000
180.451029,	0.017200
179.933854,	0.017400
179.564443,	0.017600
179.084209,	0.017800
178.554720,	0.018000
178.136055,	0.018200
177.532684,	0.018400
177.224842,	0.018600
176.756921,	0.018800
176.289001,	0.019000
175.821081,	0.019200
175.353161,	0.019400
174.835986,	0.019600
174.343438,	0.019800
173.912459,	0.020000
173.382970,	0.020200
172.951991,	0.020400
172.447130,	0.020600
172.003838,	0.020800
171.449722,	0.021000
171.043370,	0.021200
170.612391,	0.021400
170.156785,	0.021600
169.627296,	0.021800
169.184004,	0.022000
168.679143,	0.022200
168.161968,	0.022400
167.706362,	0.022600
167.312324,	0.022800
166.832090,	0.023000
166.253347,	0.023200
165.785427,	0.023400
165.354449,	0.023600
164.861901,	0.023800
164.307786,	0.024000
163.876807,	0.024200
163.396574,	0.024400
162.940968,	0.024600
162.411479,	0.024800
161.968187,	0.025000
161.475640,	0.025200
161.069289,	0.025400
160.527487,	0.025600
159.985685,	0.025800
159.567020,	0.026000
158.975964,	0.026200
158.569613,	0.026400
158.015497,	0.026600
157.584519,	0.026800
157.091972,	0.027000
156.587111,	0.027200
156.156133,	0.027400
155.725154,	0.027600
155.146412,	0.027800
154.690806,	0.028000
154.099750,	0.028200
153.668772,	0.028400
153.213166,	0.028600
152.695992,	0.028800
152.252700,	0.029000
151.673957,	0.029200
151.267606,	0.029400
150.762746,	0.029600
150.245572,	0.029800
149.777653,	0.030000
149.248165,	0.030200
148.767932,	0.030400
148.102994,	0.030600
147.795153,	0.030800
147.277979,	0.031000
146.785432,	0.031200
146.329827,	0.031400
145.800339,	0.031600
145.320106,	0.031800
144.741364,	0.032000
144.310386,	0.032200
143.780899,	0.032400
143.312980,	0.032600
142.771179,	0.032800
142.340201,	0.033000
141.810713,	0.033200
140.973385,	0.033400
140.751739,	0.033600
140.271506,	0.033800
139.705078,	0.034000
