g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-0.764404
Position (m),	Time (s)
219.066837,	0.000000
218.783621,	0.000200
218.278758,	0.000400
217.860091,	0.000600
217.392169,	0.000800
216.985816,	0.001000
216.628718,	0.001200
216.111541,	0.001400
215.655933,	0.001600
215.323462,	0.001800
214.793972,	0.002000
214.436874,	0.002200
214.055148,	0.002400
213.537972,	0.002600
212.996167,	0.002800
212.688324,	0.003000
212.158834,	0.003200
211.752481,	0.003400
211.309187,	0.003600
210.927461,	0.003800
210.385657,	0.004000
210.065501,	0.004200
209.499069,	0.004400
209.154285,	0.004600
208.612481,	0.004800
208.230756,	0.005000
207.762834,	0.005200
207.381109,	0.005400
206.839305,	0.005600
206.457580,	0.005800
205.989658,	0.006000
205.620247,	0.006200
205.053816,	0.006400
204.672090,	0.006600
204.204169,	0.006800
203.810130,	0.007000
203.292954,	0.007200
202.886601,	0.007400
202.430994,	0.007600
202.061582,	0.007800
201.507465,	0.008000
201.125740,	0.008200
200.620877,	0.008400
200.251466,	0.008600
199.697349,	0.008800
199.278682,	0.009000
198.847702,	0.009200
198.465977,	0.009400
197.899547,	0.009600
197.530135,	0.009800
197.049900,	0.010000
196.668175,	0.010200
196.200254,	0.010400
195.744647,	0.010600
195.239785,	0.010800
194.808805,	0.011000
194.291629,	0.011200
193.885277,	0.011400
193.441984,	0.011600
192.949435,	0.011800
192.481514,	0.012000
192.062848,	0.012200
191.570300,	0.012400
191.127007,	0.012600
190.659086,	0.012800
190.166538,	0.013000
189.723245,	0.013200
189.206069,	0.013400
188.848972,	0.013600
188.282541,	0.013800
187.925444,	0.014000
187.346700,	0.014200
187.001916,	0.014400
186.435486,	0.014600
186.029134,	0.014800
185.524272,	0.015000
185.068665,	0.015200
184.686941,	0.015400
184.243648,	0.015600
183.689531,	0.015800
183.295493,	0.016000
182.753690,	0.016200
182.396593,	0.016400
181.928673,	0.016600
181.473066,	0.016800
180.992832,	0.017000
180.524911,	0.017200
180.032363,	0.017400
179.527502,	0.017600
179.108836,	0.017800
178.702485,	0.018000
178.136055,	0.018200
177.643507,	0.018400
177.187900,	0.018600
176.646098,	0.018800
176.227433,	0.019000
175.747199,	0.019200
175.377788,	0.019400
174.835986,	0.019600
174.466575,	0.019800
173.924773,	0.020000
173.493794,	0.020200
172.927364,	0.020400
172.570267,	0.020600
172.003838,	0.020800
171.585172,	0.021000
171.043370,	0.021200
170.624705,	0.021400
170.095216,	0.021600
169.553414,	0.021800
169.122435,	0.022000
168.691456,	0.022200
168.223536,	0.022400
167.718675,	0.022600
167.312324,	0.022800
166.770522,	0.023000
166.376484,	0.023200
165.797741,	0.023400
165.452958,	0.023600
164.911156,	0.023800
164.517118,	0.024000
163.938376,	0.024200
163.396574,	0.024400
163.002536,	0.024600
162.423793,	0.024800
161.955873,	0.025000
161.438699,	0.025200
161.032348,	0.025400
160.625996,	0.025600
160.121136,	0.025800
159.640902,	0.026000
159.296120,	0.026200
158.606554,	0.026400
158.150948,	0.026600
157.744597,	0.026800
157.178168,	0.027000
156.722562,	0.027200
156.180760,	0.027400
155.737468,	0.027600
155.183353,	0.027800
154.703120,	0.028000
154.321396,	0.028200
153.890418,	0.028400
153.311675,	0.028600
152.819128,	0.028800
152.425091,	0.029000
151.784780,	0.029200
151.341488,	0.029400
150.725805,	0.029600
150.356395,	0.029800
149.913103,	0.030000
149.420556,	0.030200
148.977264,	0.030400
