g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-6.263390
Position (m),	Time (s)
219.029896,	0.000000
218.611229,	0.000200
218.204876,	0.000400
217.736954,	0.000600
217.367542,	0.000800
216.838051,	0.001000
216.456326,	0.001200
215.902208,	0.001400
215.569737,	0.001600
215.089501,	0.001800
214.683148,	0.002000
214.202913,	0.002200
213.821187,	0.002400
213.377893,	0.002600
212.959226,	0.002800
212.318912,	0.003000
212.060324,	0.003200
211.592403,	0.003400
211.210677,	0.003600
210.718128,	0.003800
210.299461,	0.004000
209.856167,	0.004200
209.449814,	0.004400
208.920324,	0.004600
208.538599,	0.004800
208.070677,	0.005000
207.664324,	0.005200
207.184089,	0.005400
206.777736,	0.005600
206.285188,	0.005800
205.878835,	0.006000
205.337031,	0.006200
204.992247,	0.006400
204.512012,	0.006600
204.117973,	0.006800
203.650052,	0.007000
203.182130,	0.007200
202.738836,	0.007400
202.307856,	0.007600
201.790680,	0.007800
201.396641,	0.008000
200.867152,	0.008200
200.522368,	0.008400
200.017505,	0.008600
199.598839,	0.008800
199.143232,	0.009000
198.736879,	0.009200
197.899547,	0.009400
197.801037,	0.009600
197.357743,	0.009800
196.889822,	0.010000
196.360333,	0.010200
195.978608,	0.010400
195.498373,	0.010600
195.079707,	0.010800
194.550217,	0.011000
194.205434,	0.011200
193.651317,	0.011400
193.269592,	0.011600
192.777043,	0.011800
192.358377,	0.012000
191.902770,	0.012200
191.484104,	0.012400
190.905360,	0.012600
190.499008,	0.012800
190.068028,	0.013000
189.637049,	0.013200
189.169128,	0.013400
188.725835,	0.013600
188.245600,	0.013800
187.802307,	0.014000
187.322073,	0.014200
186.878779,	0.014400
186.386231,	0.014600
186.004507,	0.014800
185.413449,	0.015000
185.007097,	0.015200
184.576117,	0.015400
183.886550,	0.015600
183.603335,	0.015800
183.147728,	0.016000
182.655181,	0.016200
182.174946,	0.016400
181.768594,	0.016600
181.239106,	0.016800
180.820440,	0.017000
180.278637,	0.017200
179.909227,	0.017400
179.392051,	0.017600
178.973386,	0.017800
178.505466,	0.018000
178.074486,	0.018200
177.581939,	0.018400
177.077077,	0.018600
176.584530,	0.018800
176.165864,	0.019000
175.734885,	0.019200
175.230024,	0.019400
