g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	1.067273
Position (m),	Time (s)
219.054523,	0.000000
218.660484,	0.000200
218.291072,	0.000400
217.773895,	0.000600
217.429110,	0.000800
216.985816,	0.001000
216.641032,	0.001200
216.111541,	0.001400
215.705188,	0.001600
215.323462,	0.001800
214.880168,	0.002000
214.399933,	0.002200
213.968952,	0.002400
213.574913,	0.002600
213.168560,	0.002800
212.725265,	0.003000
212.208089,	0.003200
211.826363,	0.003400
211.370755,	0.003600
210.976716,	0.003800
210.471853,	0.004000
210.065501,	0.004200
209.609893,	0.004400
209.240481,	0.004600
208.674050,	0.004800
208.316952,	0.005000
207.824403,	0.005200
207.454991,	0.005400
206.950129,	0.005600
206.543776,	0.005800
206.100482,	0.006000
205.681815,	0.006200
205.140012,	0.006400
204.770600,	0.006600
204.302679,	0.006800
203.920953,	0.007000
203.489973,	0.007200
202.997425,	0.007400
202.541817,	0.007600
202.135464,	0.007800
201.605975,	0.008000
201.199622,	0.008200
200.756328,	0.008400
200.374603,	0.008600
199.857427,	0.008800
199.475702,	0.009000
199.007781,	0.009200
198.613742,	0.009400
197.887233,	0.009600
197.665586,	0.009800
197.197665,	0.010000
196.791313,	0.010200
196.286450,	0.010400
195.769275,	0.010600
195.399863,	0.010800
195.005825,	0.011000
194.439394,	0.011200
194.094610,	0.011400
193.626689,	0.011600
193.171082,	0.011800
192.690847,	0.012000
192.333750,	0.012200
191.828888,	0.012400
191.336340,	0.012600
190.880733,	0.012800
190.499008,	0.013000
190.006460,	0.013200
189.587794,	0.013400
189.107559,	0.013600
188.701207,	0.013800
188.134777,	0.014000
187.802307,	0.014200
187.285131,	0.014400
186.878779,	0.014600
186.423172,	0.014800
185.955252,	0.015000
185.511959,	0.015200
185.080979,	0.015400
184.576117,	0.015600
184.194393,	0.015800
183.640276,	0.016000
183.196983,	0.016200
182.766004,	0.016400
182.285770,	0.016600
181.805536,	0.016800
181.312988,	0.017000
180.918949,	0.017200
180.303265,	0.017400
179.958481,	0.017600
179.453620,	0.017800
179.034954,	0.018000
178.517779,	0.018200
178.074486,	0.018400
177.581939,	0.018600
177.175587,	0.018800
176.633784,	0.019000
176.178178,	0.019200
175.759512,	0.019400
175.402415,	0.019600
174.712849,	0.019800
174.380379,	0.020000
173.986341,	0.020200
173.530735,	0.020400
173.001246,	0.020600
172.447130,	0.020800
172.028465,	0.021000
171.634427,	0.021200
171.117252,	0.021400
170.698587,	0.021600
170.132157,	0.021800
169.344082,	0.022000
169.147063,	0.022200
168.691456,	0.022400
168.161968,	0.022600
167.681734,	0.022800
167.349265,	0.023000
166.869031,	0.023200
166.499621,	0.023400
165.908564,	0.023600
165.514527,	0.023800
164.997352,	0.024000
164.443236,	0.024200
163.999944,	0.024400
163.532024,	0.024600
163.064104,	0.024800
162.448421,	0.025000
162.128265,	0.025200
161.598777,	0.025400
161.217053,	0.025600
160.589055,	0.025800
160.182704,	0.026000
159.702471,	0.026200
159.296120,	0.026400
158.803573,	0.026600
158.323339,	0.026800
157.732283,	0.027000
157.362873,	0.027200
156.870326,	0.027400
156.291583,	0.027600
155.897546,	0.027800
155.257235,	0.028000
154.789316,	0.028200
154.419905,	0.028400
153.976613,	0.028600
153.385557,	0.028800
153.065402,	0.029000
152.548228,	0.029200
151.969485,	0.029400
151.563134,	0.029600
151.033647,	0.029800
150.528786,	0.030000
149.986985,	0.030200
149.617575,	0.030400
149.051146,	0.030600
148.657109,	0.030800
148.041426,	0.031000
147.684330,	0.031200
147.216411,	0.031400
146.649982,	0.031600
146.120495,	0.031800
145.664889,	0.032000
145.233911,	0.032200
144.655169,	0.032400
144.162622,	0.032600
143.645449,	0.032800
143.202157,	0.033000
142.721924,	0.033200
142.340201,	0.033400
141.786086,	0.033600
141.084208,	0.033800
140.702484,	0.034000
140.172997,	0.034200
139.668137,	0.034400
139.224845,	0.034600
138.756926,	0.034800
138.313635,	0.035000
137.907284,	0.035200
137.279288,	0.035400
136.786742,	0.035600
136.294195,	0.035800
135.777022,	0.036000
135.309103,	0.036200
134.742675,	0.036400
134.299384,	0.036600
133.769897,	0.036800
133.240410,	0.037000
132.772491,	0.037200
132.230690,	0.037400
131.799713,	0.037600
131.233285,	0.037800
130.814621,	0.038000
130.260506,	0.038200
129.792588,	0.038400
129.250787,	0.038600
128.758241,	0.038800
128.241068,	0.039000
127.748522,	0.039200
127.231349,	0.039400
126.738803,	0.039600
126.270885,	0.039800
125.778339,	0.040000
125.261166,	0.040200
124.780934,	0.040400
124.239133,	0.040600
123.721960,	0.040800
123.180160,	0.041000
122.749183,	0.041200
122.207382,	0.041400
121.653268,	0.041600
121.197664,	0.041800
120.692804,	0.042000
120.163318,	0.042200
119.621518,	0.042400
119.165913,	0.042600
118.599486,	0.042800
118.143881,	0.043000
117.651336,	0.043200
117.072595,	0.043400
116.592363,	0.043600
116.038249,	0.043800
115.582644,	0.044000
115.114726,	0.044200
114.511358,	0.044400
114.018813,	0.044600
113.477013,	0.044800
113.033722,	0.045000
112.430354,	0.045200
112.011690,	0.045400
111.383695,	0.045600
110.952718,	0.045800
110.410918,	0.046000
109.819864,	0.046200
109.413514,	0.046400
108.859400,	0.046600
108.366855,	0.046800
107.825055,	0.047000
107.270942,	0.047200
106.766083,	0.047400
106.273538,	0.047600
105.793306,	0.047800
105.226879,	0.048000
104.746648,	0.048200
104.180221,	0.048400
103.515285,	0.048600
103.207444,	0.048800
102.665645,	0.049000
102.062277,	0.049200
101.557419,	0.049400
101.003305,	0.049600
100.547701,	0.049800
99.993588,	0.050000
99.513357,	0.050200
98.959244,	0.050400
98.269681,	0.050600
97.912586,	0.050800
97.358473,	0.051000
96.902869,	0.051200
96.311815,	0.051400
95.794643,	0.051600
95.289784,	0.051800
94.711044,	0.052000
94.230813,	0.052200
93.775209,	0.052400
93.147214,	0.052600
92.630042,	0.052800
92.026675,	0.053000
91.632639,	0.053200
91.041586,	0.053400
90.536727,	0.053600
89.921046,	0.053800
89.391561,	0.054000
88.899016,	0.054200
88.332590,	0.054400
87.840045,	0.054600
87.285932,	0.054800
86.805701,	0.055000
86.239275,	0.055200
85.685163,	0.055400
85.204932,	0.055600
84.626192,	0.055800
83.850434,	0.056000
83.530280,	0.056200
83.050049,	0.056400
82.495937,	0.056600
81.904883,	0.056800
81.375398,	0.057000
80.919795,	0.057200
80.328741,	0.057400
79.786942,	0.057600
79.269771,	0.057800
78.580209,	0.058000
78.173860,	0.058200
77.669002,	0.058400
77.028694,	0.058600
76.548463,	0.058800
75.969724,	0.059000
75.477179,	0.059200
74.873813,	0.059400
74.356641,	0.059600
73.814843,	0.059800
73.236103,	0.060000
72.780500,	0.060200
72.214074,	0.060400
71.635334,	0.060600
71.068909,	0.060800
70.576364,	0.061000
69.911430,	0.061200
69.431199,	0.061400
68.864774,	0.061600
68.384543,	0.061800
67.855058,	0.062000
67.313260,	0.062200
66.746834,	0.062400
66.131154,	0.062600
65.650924,	0.062800
65.084498,	0.063000
64.518072,	0.063200
63.963960,	0.063400
63.446789,	0.063600
62.831109,	0.063800
62.301625,	0.064000
61.685945,	0.064200
61.205714,	0.064400
60.614662,	0.064600
60.109804,	0.064800
59.543379,	0.065000
58.976953,	0.065200
58.472096,	0.065400
57.868730,	0.065600
57.253050,	0.065800
56.797447,	0.066000
56.243335,	0.066200
55.356756,	0.066400
55.098171,	0.066600
54.556373,	0.066800
53.989947,	0.067000
53.411209,	0.067200
52.820156,	0.067400
52.352240,	0.067600
51.748874,	0.067800
51.207076,	0.068000
50.616023,	0.068200
50.061912,	0.068400
49.470859,	0.068600
48.953688,	0.068800
48.264127,	0.069000
47.870093,	0.069200
47.291354,	0.069400
46.687988,	0.069600
46.133877,	0.069800
45.604392,	0.070000
45.037967,	0.070200
44.496169,	0.070400
43.880490,	0.070600
43.338692,	0.070800
42.759954,	0.071000
42.156588,	0.071200
41.664044,	0.071400
40.999111,	0.071600
40.457313,	0.071800
39.915515,	0.072000
39.361404,	0.072200
38.819606,	0.072400
38.191613,	0.072600
37.637502,	0.072800
37.034137,	0.073000
36.504653,	0.073200
35.864346,	0.073400
35.371803,	0.073600
34.793065,	0.073800
34.189699,	0.074000
33.623274,	0.074200
33.056850,	0.074400
32.465798,	0.074600
31.911687,	0.074800
31.357576,	0.075000
30.766524,	0.075200
30.249353,	0.075400
29.572107,	0.075600
29.067250,	0.075800
28.488512,	0.076000
27.848206,	0.076200
27.380290,	0.076400
26.776924,	0.076600
26.161245,	0.076800
25.594821,	0.077000
25.003769,	0.077200
24.425031,	0.077400
23.870920,	0.077600
23.255241,	0.077800
22.664190,	0.078000
22.147020,	0.078200
21.543654,	0.078400
21.001857,	0.078600
20.373865,	0.078800
19.782813,	0.079000
19.191762,	0.079200
18.637651,	0.079400
18.021972,	0.079600
17.455548,	0.079800
16.864496,	0.080000
16.236504,	0.080200
15.719334,	0.080400
15.103656,	0.080600
14.463350,	0.080800
13.983121,	0.081000
13.367442,	0.081200
12.653255,	0.081400
12.173026,	0.081600
11.594288,	0.081800
11.003237,	0.082000
10.449126,	0.082200
9.858075,	0.082400
9.254710,	0.082600
8.663659,	0.082800
8.047980,	0.083000
7.444615,	0.083200
6.902818,	0.083400
6.336394,	0.083600
5.659148,	0.083800
5.117351,	0.084000
4.538614,	0.084200
3.935249,	0.084400
3.319571,	0.084600
2.765460,	0.084800
2.125155,	0.085000
1.595671,	0.085200
0.918425,	0.085400
0.265806,	0.085600
-0.214423,	0.085800
-0.817787,	0.086000
-1.728991,	0.086200
-1.987576,	0.086400
-2.590940,	0.086600
-3.181991,	0.086800
-3.785356,	0.087000
-4.364093,	0.087200
-5.041339,	0.087400
-5.546195,	0.087600
-6.198814,	0.087800
-6.752924,	0.088000
-7.356289,	0.088200
-7.959653,	0.088400
-8.649213,	0.088600
-9.166382,	0.088800
-9.745120,	0.089000
-10.373111,	0.089200
-10.964162,	0.089400
-11.567526,	0.089600
-12.220145,	0.089800
-12.737315,	0.090000
-13.389933,	0.090200
-14.042552,	0.090400
-14.559721,	0.090600
-15.163085,	0.090800
-15.803390,	0.091000
-16.382128,	0.091200
-16.960865,	0.091400
-17.625797,	0.091600
-18.216848,	0.091800
-18.807898,	0.092000
-19.398949,	0.092200
-20.014627,	0.092400
-20.630305,	0.092600
-21.233669,	0.092800
-21.861660,	0.093000
-22.415770,	0.093200
-23.080702,	0.093400
-23.684066,	0.093600
-24.262803,	0.093800
-24.890794,	0.094000
-25.506472,	0.094200
-26.097523,	0.094400
-26.737827,	0.094600
-27.365819,	0.094800
-27.932242,	0.095000
-28.547920,	0.095200
-29.151284,	0.095400
-29.976292,	0.095600
-30.382639,	0.095800
-31.022944,	0.096000
-31.613994,	0.096200
-32.229672,	0.096400
-32.808409,	0.096600
-33.485654,	0.096800
-34.101331,	0.097000
-34.704695,	0.097200
-35.345000,	0.097400
-35.911423,	0.097600
-36.539414,	0.097800
-37.204346,	0.098000
-37.770769,	0.098200
-38.386447,	0.098400
-39.002124,	0.098600
-39.617802,	0.098800
-40.233479,	0.099000
-40.849156,	0.099200
-41.464834,	0.099400
-42.129765,	0.099600
-42.745443,	0.099800
-43.361120,	0.100000
-43.939857,	0.100200
-44.592475,	0.100400
-45.208152,	0.100600
-45.823829,	0.100800
-46.464134,	0.101000
-47.067498,	0.101200
-47.707802,	0.101400
-48.311166,	0.101600
-48.939157,	0.101800
-49.579461,	0.102000
-50.207452,	0.102200
-50.798502,	0.102400
-51.438806,	0.102600
-52.066797,	0.102800
-52.682474,	0.103000
-53.322779,	0.103200
-53.938456,	0.103400
-54.591074,	0.103600
-55.206751,	0.103800
-55.847055,	0.104000
-56.450419,	0.104200
-57.078409,	0.104400
-57.706400,	0.104600
-58.642229,	0.104800
-59.011636,	0.105000
-59.614999,	0.105200
-60.230676,	0.105400
-60.870980,	0.105600
-61.486657,	0.105800
-62.126962,	0.106000
-62.779579,	0.106200
-63.407570,	0.106400
-64.047874,	0.106600
-64.663551,	0.106800
-65.303855,	0.107000
-65.968786,	0.107200
-66.559836,	0.107400
-67.237081,	0.107600
-67.840445,	0.107800
-68.468435,	0.108000
-69.145680,	0.108200
-69.749043,	0.108400
-70.389347,	0.108600
-71.029651,	0.108800
-71.719210,	0.109000
-72.310259,	0.109200
-72.938250,	0.109400
-73.578554,	0.109600
-74.218858,	0.109800
-74.859162,	0.110000
-75.511779,	0.110200
-76.189024,	0.110400
-76.780074,	0.110600
-77.445005,	0.110800
-78.085309,	0.111000
-78.700986,	0.111200
-79.353603,	0.111400
-79.981594,	0.111600
-80.646525,	0.111800
-81.286829,	0.112000
-81.914819,	0.112200
-82.567436,	0.112400
-83.244681,	0.112600
-83.860358,	0.112800
-84.512975,	0.113000
-85.165593,	0.113200
-85.793583,	0.113400
